df_author_name,df_author_url
['Daniel Anderson'],['https://pureportal.coventry.ac.uk/en/persons/daniel-anderson-2']
['Hannah Andrews'],['https://pureportal.coventry.ac.uk/en/persons/hannah-andrews']
['Panagiotis Andrikopoulos'],['https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos']
['Christopher Aniche'],['https://pureportal.coventry.ac.uk/en/persons/christopher-aniche']
['Babatunde Anifowose'],['https://pureportal.coventry.ac.uk/en/persons/babatunde-anifowose']
['Emmanuel Ejiofor Anike'],['https://pureportal.coventry.ac.uk/en/persons/emmanuel-ejiofor-anike']
['Sara Anisi'],['https://pureportal.coventry.ac.uk/en/persons/sara-anisi']
['Nancy Annan'],['https://pureportal.coventry.ac.uk/en/persons/nancy-annan-2']
['Ihechiluru Fortune Chinatu Anya'],['https://pureportal.coventry.ac.uk/en/persons/ihechiluru-fortune-chinatu-anya']
['Evangelos Symeon Apostolopoulos'],['https://pureportal.coventry.ac.uk/en/persons/evangelos-symeon-apostolopoulos']
['Lindsey Appleyard'],['https://pureportal.coventry.ac.uk/en/persons/lindsey-appleyard']
['Ana Carolina Araujo Lascano'],['https://pureportal.coventry.ac.uk/en/persons/ana-carolina-araujo-lascano']
['Oussama Arbouche'],['https://pureportal.coventry.ac.uk/en/persons/oussama-arbouche']
['Deji Aremu'],['https://pureportal.coventry.ac.uk/en/persons/deji-aremu']
['Balaji Aresh'],['https://pureportal.coventry.ac.uk/en/persons/balaji-aresh']
['Kiev Ariza'],['https://pureportal.coventry.ac.uk/en/persons/kiev-ariza']
['Anthony Armstrong'],['https://pureportal.coventry.ac.uk/en/persons/anthony-armstrong']
['Sylvester Arnab'],['https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab']
['Sara Arouch'],['https://pureportal.coventry.ac.uk/en/persons/sara-arouch']
['Vipavinee Artpradid'],['https://pureportal.coventry.ac.uk/en/persons/vipavinee-artpradid']
['Ken Asare'],['https://pureportal.coventry.ac.uk/en/persons/ken-asare']
['Mike Ashford'],['https://pureportal.coventry.ac.uk/en/persons/mike-ashford']
['Folajimi Ashiru'],['https://pureportal.coventry.ac.uk/en/persons/folajimi-ashiru']
['Craig Ashley'],['https://pureportal.coventry.ac.uk/en/persons/craig-ashley']
['Patricia Ashman'],['https://pureportal.coventry.ac.uk/en/persons/patricia-ashman']
['Rjaa Jawad Ashraf'],['https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf']
['Farzana Aslam'],['https://pureportal.coventry.ac.uk/en/persons/farzana-aslam']
['Hussan Aslam'],['https://pureportal.coventry.ac.uk/en/persons/hussan-aslam']
['Muhammad Adnan Aslam'],['https://pureportal.coventry.ac.uk/en/persons/muhammad-adnan-aslam']
['Mujahid Asmal-Lee'],['https://pureportal.coventry.ac.uk/en/persons/mujahid-asmal-lee']
['Richard Aspinall'],['https://pureportal.coventry.ac.uk/en/persons/richard-aspinall']
['Taufiq Asyhari'],['https://pureportal.coventry.ac.uk/en/persons/taufiq-asyhari']
['Lauren Atkins'],['https://pureportal.coventry.ac.uk/en/persons/lauren-atkins']
['Samantha Atkins'],['https://pureportal.coventry.ac.uk/en/persons/samantha-atkins']
['Shalika Atlas'],['https://pureportal.coventry.ac.uk/en/persons/shalika-atlas']
['Vani Aul'],['https://pureportal.coventry.ac.uk/en/persons/vani-aul']
['Randhir Auluck'],['https://pureportal.coventry.ac.uk/en/persons/randhir-auluck']
['Kristin Aune'],['https://pureportal.coventry.ac.uk/en/persons/kristin-aune']
['Elicia Austin'],['https://pureportal.coventry.ac.uk/en/persons/elicia-austin']
['Stephen Austin'],['https://pureportal.coventry.ac.uk/en/persons/stephen-austin']
['Soroush Avakh Darestani'],['https://pureportal.coventry.ac.uk/en/persons/soroush-avakh-darestani']
['Melissa Avdeeff'],['https://pureportal.coventry.ac.uk/en/persons/melissa-avdeeff']
['Simone Salvatore Aveni'],['https://pureportal.coventry.ac.uk/en/persons/simone-salvatore-aveni']
['Kenny Awuson - David'],['https://pureportal.coventry.ac.uk/en/persons/kenny-awuson-david']
['Mark Axon'],['https://pureportal.coventry.ac.uk/en/persons/mark-axon']
['Haseeb Ayaz'],['https://pureportal.coventry.ac.uk/en/persons/haseeb-ayaz']
['Rami Ayoubi'],['https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi']
['Rana Aytug'],['https://pureportal.coventry.ac.uk/en/persons/rana-aytug']
['Hoor Ayub'],['https://pureportal.coventry.ac.uk/en/persons/hoor-ayub']
['Evronia Azer'],['https://pureportal.coventry.ac.uk/en/persons/evronia-azer']
['Farzaneh Azizsafaei'],['https://pureportal.coventry.ac.uk/en/persons/farzaneh-azizsafaei']
['Maryam Azizsafaei'],['https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei']
['Zaneta Azuma'],['https://pureportal.coventry.ac.uk/en/persons/zaneta-azuma']
['Gbolahan Olusegun Babalola'],['https://pureportal.coventry.ac.uk/en/persons/gbolahan-olusegun-babalola']
['Abiola Babatunde'],['https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde']
['Echekwumemchukwu Emmanuel Badifu'],['https://pureportal.coventry.ac.uk/en/persons/echekwumemchukwu-emmanuel-badifu']
['Amar Baga'],['https://pureportal.coventry.ac.uk/en/persons/amar-baga']
['Meghdad Bagheri'],['https://pureportal.coventry.ac.uk/en/persons/meghdad-bagheri']
['Mohammadreza Bagheri'],['https://pureportal.coventry.ac.uk/en/persons/mohammadreza-bagheri']
['Nim Bahia'],['https://pureportal.coventry.ac.uk/en/persons/nim-bahia']
['Witold Bahr'],['https://pureportal.coventry.ac.uk/en/persons/witold-bahr']
['Mingwen Bai'],['https://pureportal.coventry.ac.uk/en/persons/mingwen-bai']
